Experimental Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exp AnE 65°,,Exp Aps 65°,,Exp Asp 65°,,Exp mm12 65°,,Exp mm13 65°,,Exp mm14 65°,,Exp mm21 65°,,Exp mm22 65°,,Exp mm23 65°,,Exp mm24 65°,,Exp mm31 65°,,Exp mm32 65°,,Exp mm33 65°,,Exp mm34 65°
281.82,37.431,281.82,1.8704,281.82,1.3891,281.82,-0.26603,281.82,-0.01047,281.82,-0.00094049,281.82,-0.29897,281.82,1.0277,281.82,0.055126,281.82,6.22E-05,281.82,0.016273,281.82,-0.054907,281.82,0.94867,281.82,-0.22617
283.4,38.535,283.4,1.7735,283.4,1.3303,283.4,-0.2275,283.4,-0.009281,283.4,-0.0010612,283.4,-0.263,283.4,1.0259,283.4,0.054602,283.4,-0.00012866,283.4,0.012213,283.4,-0.052561,283.4,0.98351,283.4,-0.058662
284.99,39.349,284.99,1.6704,284.99,1.3024,284.99,-0.19944,284.99,-0.0080183,284.99,-0.0015277,284.99,-0.23317,284.99,1.0261,284.99,0.053261,284.99,0.00037715,284.99,0.0091935,284.99,-0.049926,284.99,0.98847,284.99,0.10563
286.58,39.847,286.58,1.6273,286.58,1.3096,286.58,-0.18225,286.58,-0.0073043,286.58,-0.00061198,286.58,-0.21601,286.58,1.0273,286.58,0.052837,286.58,1.31E-04,286.58,0.0076441,286.58,-0.048197,286.58,0.96354,286.58,0.25989
288.17,40.016,288.17,1.6089,288.17,1.2473,288.17,-0.17623,288.17,-0.0081334,288.17,-0.00075304,288.17,-0.21119,288.17,1.0269,288.17,0.05256,288.17,0.00030931,288.17,0.0043607,288.17,-0.042787,288.17,0.9148,288.17,0.3994
289.76,39.986,289.76,1.5642,289.76,1.2284,289.76,-0.17731,289.76,-0.0076126,289.76,-0.00045901,289.76,-0.21125,289.76,1.0254,289.76,0.051296,289.76,-4.58E-05,289.76,0.0041109,289.76,-0.038579,289.76,0.85092,289.76,0.51895
291.35,39.752,291.35,1.5645,291.35,1.1759,291.35,-0.18504,291.35,-0.0081265,291.35,-0.00034607,291.35,-0.21833,291.35,1.0241,291.35,0.050603,291.35,0.00066489,291.35,0.0030077,291.35,-0.033666,291.35,0.77952,291.35,0.61828
292.94,39.369,292.94,1.523,292.94,1.1228,292.94,-0.19854,292.94,-0.0084507,292.94,-0.00086583,292.94,-0.23195,292.94,1.0222,292.94,0.048279,292.94,0.0010019,292.94,-0.00060064,292.94,-0.029676,292.94,0.7033,292.94,0.69822
294.52,38.896,294.52,1.5284,294.52,1.0629,294.52,-0.21401,294.52,-0.0092376,294.52,-0.00066522,294.52,-0.24509,294.52,1.0202,294.52,0.04757,294.52,0.0011909,294.52,-0.0013739,294.52,-0.023912,294.52,0.62534,294.52,0.76243
296.11,38.445,296.11,1.5335,296.11,1.0109,296.11,-0.22964,296.11,-0.010192,296.11,-0.00055498,296.11,-0.25942,296.11,1.0198,296.11,0.046202,296.11,0.0010807,296.11,-0.0015911,296.11,-0.019996,296.11,0.54849,296.11,0.81296
297.7,37.922,297.7,1.4419,297.7,0.96388,297.7,-0.24725,297.7,-0.0092849,297.7,-2.92E-04,297.7,-0.27723,297.7,1.0191,297.7,0.04314,297.7,0.0010939,297.7,-0.002054,297.7,-0.01635,297.7,0.47747,297.7,0.85075
299.29,37.44,299.29,1.4706,299.29,0.93013,299.29,-0.26322,299.29,-0.010136,299.29,-0.0003769,299.29,-0.29002,299.29,1.0175,299.29,0.042768,299.29,0.0013159,299.29,-0.0015874,299.29,-0.012861,299.29,0.40758,299.29,0.88029
300.88,36.948,300.88,1.4735,300.88,0.87159,300.88,-0.28027,300.88,-0.011065,300.88,-0.0004198,300.88,-0.30554,300.88,1.0176,300.88,0.04095,300.88,0.0012285,300.88,-0.0012107,300.88,-0.011742,300.88,0.34242,300.88,0.90121
302.47,36.455,302.47,1.402,302.47,0.80424,302.47,-0.296,302.47,-0.010933,302.47,-0.00061695,302.47,-0.32215,302.47,1.0155,302.47,0.038583,302.47,0.0016117,302.47,-0.0017815,302.47,-0.0068339,302.47,0.28048,302.47,0.91448
304.06,36.036,304.06,1.4422,304.06,0.79798,304.06,-0.31022,304.06,-0.01146,304.06,-0.00029034,304.06,-0.33214,304.06,1.0143,304.06,0.038673,304.06,0.0013094,304.06,-0.00060577,304.06,-0.0045365,304.06,0.22281,304.06,0.92687
305.65,35.61,305.65,1.4057,305.65,0.76757,305.65,-0.32441,305.65,-0.011254,305.65,-0.00019328,305.65,-0.34606,305.65,1.0154,305.65,0.037197,305.65,0.00138,305.65,-0.00035995,305.65,-0.0030401,305.65,0.16941,305.65,0.93203
307.24,35.204,307.24,1.303,307.24,0.69232,307.24,-0.33759,307.24,-0.010747,307.24,-0.00030415,307.24,-0.36026,307.24,1.0139,307.24,0.033872,307.24,0.0011628,307.24,-0.00036703,307.24,-0.00056405,307.24,0.11891,307.24,0.93363
308.83,34.845,308.83,1.3499,308.83,0.70075,308.83,-0.34917,308.83,-0.011121,308.83,-0.00052643,308.83,-0.3674,308.83,1.0118,308.83,0.034399,308.83,0.0015628,308.83,0.00055017,308.83,0.0010912,308.83,0.070712,308.83,0.93492
310.42,34.487,310.42,1.3291,310.42,0.69428,310.42,-0.36107,310.42,-0.010806,310.42,-2.43E-04,310.42,-0.37913,310.42,1.0132,310.42,0.033676,310.42,0.0012182,310.42,0.0009599,310.42,0.0021341,310.42,0.025953,310.42,0.93178
312.01,34.16,312.01,1.1854,312.01,0.59793,312.01,-0.3716,312.01,-0.010047,312.01,-0.00024638,312.01,-0.39103,312.01,1.0127,312.01,0.029497,312.01,0.0012333,312.01,0.0013607,312.01,0.0034667,312.01,-0.01625,312.01,0.92662
313.6,33.887,313.6,1.217,313.6,0.59144,313.6,-0.38061,313.6,-0.010444,313.6,-2.22E-05,313.6,-0.39614,313.6,1.011,313.6,0.029546,313.6,0.0010837,313.6,0.0015987,313.6,0.0046076,313.6,-0.055838,313.6,0.92286
315.18,33.587,315.18,1.2774,315.18,0.63016,315.18,-0.39029,315.18,-0.010705,315.18,-5.38E-05,315.18,-0.40372,315.18,1.0115,315.18,0.030963,315.18,0.0010562,315.18,0.0021567,315.18,0.0052932,315.18,-0.094692,315.18,0.91489
316.77,33.315,316.77,1.1226,316.77,0.54515,316.77,-0.39917,316.77,-0.0096547,316.77,-0.00035292,316.77,-0.41545,316.77,1.0124,316.77,0.026996,316.77,0.0013154,316.77,0.0029137,316.77,0.0055329,316.77,-0.13211,316.77,0.90502
318.36,33.095,318.36,1.0542,318.36,0.50196,318.36,-0.406,318.36,-0.0090773,318.36,0.00024359,318.36,-0.42001,318.36,1.0105,318.36,0.024857,318.36,0.00098146,318.36,0.0030152,318.36,0.0068557,318.36,-0.167,318.36,0.89719
319.95,32.89,319.95,1.219,319.95,0.56453,319.95,-0.41321,319.95,-0.010569,319.95,-5.33E-05,319.95,-0.42279,319.95,1.0115,319.95,0.028175,319.95,0.0011326,319.95,0.003118,319.95,0.0092972,319.95,-0.20161,319.95,0.88905
321.54,32.665,321.54,1.0778,321.54,0.49886,321.54,-0.42055,321.54,-0.0094577,321.54,4.50E-05,321.54,-0.43171,321.54,1.0132,321.54,0.024864,321.54,0.0013588,321.54,0.0045607,321.54,0.0084206,321.54,-0.23538,321.54,0.87505
323.13,32.489,323.13,0.90627,323.13,0.4018,323.13,-0.42549,323.13,-0.0081908,323.13,4.01E-05,323.13,-0.43862,323.13,1.0105,323.13,0.020417,323.13,0.001176,323.13,0.0047038,323.13,0.0080551,323.13,-0.26735,323.13,0.86299
324.72,32.354,324.72,1.0297,324.72,0.47249,324.72,-0.43017,324.72,-0.0089208,324.72,0.00028734,324.72,-0.43888,324.72,1.0103,324.72,0.023347,324.72,0.0010505,324.72,0.004199,324.72,0.0092445,324.72,-0.29902,324.72,0.85258
326.31,32.173,326.31,1.1338,326.31,0.51178,326.31,-0.43689,326.31,-0.0099826,326.31,0.00027546,326.31,-0.44407,326.31,1.013,326.31,0.025553,326.31,0.00099043,326.31,0.0055469,326.31,0.010994,326.31,-0.33132,326.31,0.8382
327.9,32.026,327.9,0.86238,327.9,0.38258,327.9,-0.44101,327.9,-0.0077367,327.9,3.46E-04,327.9,-0.45105,327.9,1.0122,327.9,0.019059,327.9,0.0011209,327.9,0.0068997,327.9,0.0092984,327.9,-0.36138,327.9,0.82086
329.49,31.912,329.49,0.78845,329.49,0.35058,329.49,-0.44421,329.49,-0.0069856,329.49,0.00057309,329.49,-0.45364,329.49,1.01,329.49,0.017384,329.49,0.00094187,329.49,0.0055982,329.49,0.0085871,329.49,-0.39011,329.49,0.80742
331.08,31.795,331.08,1.0381,331.08,0.45907,331.08,-0.44803,331.08,-0.0090483,331.08,0.00035808,331.08,-0.45375,331.08,1.0097,331.08,0.022761,331.08,0.00081795,331.08,0.0047008,331.08,0.012213,331.08,-0.42014,331.08,0.79207
332.67,31.658,332.67,0.97649,332.67,0.42865,332.67,-0.45353,332.67,-0.0086785,332.67,0.00053279,332.67,-0.45819,332.67,1.0134,332.67,0.021329,332.67,0.0010314,332.67,0.0075062,332.67,0.011963,332.67,-0.45134,332.67,0.77169
334.26,31.538,334.26,0.62424,334.26,0.30332,334.26,-0.45657,334.26,-0.0052065,334.26,0.00037475,334.26,-0.46462,334.26,1.0116,334.26,0.014016,334.26,0.00089632,334.26,0.0074145,334.26,0.0082744,334.26,-0.47852,334.26,0.75132
335.85,31.454,335.85,0.68507,335.85,0.30356,335.85,-0.45848,335.85,-0.0058513,335.85,0.00036181,335.85,-0.46567,335.85,1.0084,335.85,0.01444,335.85,0.00097639,335.85,0.0054395,335.85,0.0099145,335.85,-0.50572,335.85,0.73359
337.44,31.325,337.44,0.9605,337.44,0.40584,337.44,-0.46354,337.44,-0.0086149,337.44,0.00065521,337.44,-0.4663,337.44,1.0109,337.44,0.020489,337.44,0.00040151,337.44,0.0054632,337.44,0.013501,337.44,-0.53512,337.44,0.71217
339.03,31.205,339.03,0.89061,339.03,0.37196,339.03,-0.46842,339.03,-0.0082123,339.03,0.00058371,339.03,-0.4709,339.03,1.014,339.03,0.018919,339.03,0.00083309,339.03,0.0083272,339.03,0.01256,339.03,-0.56417,339.03,0.68657
340.62,31.103,340.62,0.49584,340.62,0.22708,340.62,-0.47082,340.62,-0.0041687,340.62,0.00062565,340.62,-0.47658,340.62,1.0117,340.62,0.010374,340.62,0.0005865,340.62,0.0087953,340.62,0.0082604,340.62,-0.59035,340.62,0.66155
342.21,31,342.21,0.5458,342.21,0.23909,342.21,-0.47288,342.21,-0.0045778,342.21,0.00087439,342.21,-0.4789,342.21,1.0081,342.21,0.010957,342.21,0.00074061,342.21,0.0059543,342.21,0.0092895,342.21,-0.61477,342.21,0.63748
343.8,30.888,343.8,0.89959,343.8,0.33644,343.8,-0.47766,343.8,-0.0086739,343.8,0.00098846,343.8,-0.47895,343.8,1.0114,343.8,0.01823,343.8,0.00029797,343.8,0.0053484,343.8,0.013663,343.8,-0.64107,343.8,0.61064
345.39,30.762,345.39,0.85272,345.39,0.3412,345.39,-0.48313,345.39,-0.0079216,345.39,0.00097393,345.39,-0.48316,345.39,1.0147,345.39,0.01742,345.39,3.75E-04,345.39,0.0086267,345.39,0.014108,345.39,-0.66922,345.39,0.57881
346.98,30.629,346.98,0.41508,346.98,0.18459,346.98,-0.48605,346.98,-0.0036822,346.98,0.00096887,346.98,-0.48962,346.98,1.0123,346.98,0.0086365,346.98,0.00036341,346.98,0.0097738,346.98,0.0072516,346.98,-0.6914,346.98,0.5461
348.57,30.531,348.57,0.36587,348.57,0.15118,348.57,-0.48743,348.57,-0.003133,348.57,0.0011904,348.57,-0.49313,348.57,1.0081,348.57,0.0069418,348.57,8.55E-05,348.57,0.0064764,348.57,0.0067792,348.57,-0.71152,348.57,0.51546
350.16,30.406,350.16,0.73488,350.16,0.28664,350.16,-0.49232,350.16,-0.006764,350.16,0.00089266,350.16,-0.49395,350.16,1.01,350.16,0.014674,350.16,0.00040589,350.16,0.004009,350.16,0.012787,350.16,-0.73486,350.16,0.48152
351.75,30.266,351.75,0.87098,351.75,0.33614,351.75,-0.49877,351.75,-0.0081197,351.75,0.0010869,351.75,-0.49637,351.75,1.0148,351.75,0.017434,351.75,-3.05E-05,351.75,0.0064406,351.75,0.015692,351.75,-0.75894,351.75,0.44291
353.34,30.133,353.34,0.47081,353.34,0.20332,353.34,-0.50295,353.34,-0.0041366,353.34,0.0012372,353.34,-0.50295,353.34,1.0149,353.34,0.0096046,353.34,0.00013366,353.34,0.0092964,353.34,0.0089591,353.34,-0.77871,353.34,0.40325
354.93,29.99,354.93,0.17786,354.93,0.083418,354.93,-0.5048,354.93,-0.0014026,354.93,0.0014102,354.93,-0.50887,354.93,1.0095,354.93,0.003088,354.93,-2.29E-05,354.93,0.007456,354.93,0.0036056,354.93,-0.79228,354.93,0.36237
356.52,29.831,356.52,0.41893,356.52,0.17296,356.52,-0.50885,356.52,-0.0035574,356.52,0.0010885,356.52,-0.51267,356.52,1.0077,356.52,0.0080745,356.52,-0.00016108,356.52,0.0028154,356.52,0.0083904,356.52,-0.80679,356.52,0.31942
358.11,29.652,358.11,0.80851,358.11,0.28195,358.11,-0.51668,358.11,-0.0079873,358.11,0.0012303,358.11,-0.51493,358.11,1.0126,358.11,0.016035,358.11,-0.00030896,358.11,0.0030267,358.11,0.014154,358.11,-0.82418,358.11,0.27349
359.7,29.449,359.7,0.69871,359.7,0.23549,359.7,-0.52465,359.7,-0.0069641,359.7,0.0014105,359.7,-0.52113,359.7,1.016,359.7,0.0135,359.7,-1.11E-04,359.7,0.0076185,359.7,0.012261,359.7,-0.83874,359.7,0.22453
361.29,29.231,361.29,0.18989,361.29,0.080251,361.29,-0.52956,361.29,-0.0015839,361.29,0.0015457,361.29,-0.53027,361.29,1.0126,361.29,0.0032696,361.29,-0.00034509,361.29,0.0091152,361.29,0.0037313,361.29,-0.84411,361.29,0.17344
362.88,28.951,362.88,0.10562,362.88,0.053817,362.88,-0.53597,362.88,-0.00052934,362.88,0.0016673,362.88,-0.53982,362.88,1.0088,362.88,0.0013654,362.88,-0.00050488,362.88,0.0048309,362.88,0.0019089,362.88,-0.84488,362.88,0.12132
364.48,28.642,364.48,0.47789,364.48,0.14685,364.48,-0.54548,364.48,-0.0047562,364.48,0.0016113,364.48,-0.54709,364.48,1.0094,364.48,0.0087269,364.48,-0.00089893,364.48,0.0018905,364.48,0.0081046,364.48,-0.84562,364.48,0.067386
366.07,28.257,366.07,0.83003,366.07,0.2438,366.07,-0.5598,366.07,-0.008611,366.07,0.0015339,366.07,-0.55627,366.07,1.0147,366.07,0.0155,366.07,-0.00081561,366.07,0.0034284,366.07,0.013505,366.07,-0.84542,366.07,0.012878
367.66,27.83,367.66,0.6,367.66,0.16354,367.66,-0.57333,367.66,-0.0062265,367.66,0.0015199,367.66,-0.56804,367.66,1.0165,367.66,0.010512,367.66,-0.00087417,367.66,0.008026,367.66,0.0096584,367.66,-0.83759,367.66,-0.041147
369.25,27.367,369.25,0.10541,369.25,0.030081,369.25,-0.58457,369.25,2.01E-05,369.25,0.0016974,369.25,-0.5842,369.25,1.0127,369.25,0.00044439,369.25,-0.0012728,369.25,0.0090468,369.25,0.0011287,369.25,-0.82062,369.25,-0.093103
370.84,26.906,370.84,0.20049,370.84,0.040254,370.84,-0.59433,370.84,0.00203,370.84,0.0017817,370.84,-0.59864,370.84,1.0069,370.84,-0.0031699,370.84,-0.0011552,370.84,0.0057661,370.84,-0.0018764,370.84,-0.79942,370.84,-0.1395
372.43,26.417,372.43,0.25551,372.43,0.038464,372.43,-0.61154,372.43,-0.0026189,372.43,0.0019961,372.43,-0.61397,372.43,1.0133,372.43,0.0036683,372.43,-0.0018441,372.43,0.00063375,372.43,0.0022149,372.43,-0.78279,372.43,-0.18782
374.02,25.713,374.02,0.95367,374.02,0.23073,374.02,-0.63577,374.02,-0.01017,374.02,0.0020591,374.02,-0.63075,374.02,1.0207,374.02,0.017007,374.02,-0.0019751,374.02,0.0018146,374.02,0.01124,374.02,-0.75637,374.02,-0.24633
375.61,25.227,375.61,0.80285,375.61,0.18366,375.61,-0.6482,375.61,-0.0085494,375.61,0.0019159,375.61,-0.64111,375.61,1.0196,375.61,0.013468,375.61,-0.0014447,375.61,0.0059917,375.61,0.0094373,375.61,-0.72864,375.61,-0.28497
377.2,24.764,377.2,0.19851,377.2,0.040613,377.2,-0.65784,377.2,-0.0015258,377.2,0.0021005,377.2,-0.65557,377.2,1.0148,377.2,0.0020945,377.2,-0.0016301,377.2,0.0065743,377.2,0.0019868,377.2,-0.69898,377.2,-0.3191
378.79,24.327,378.79,0.23566,378.79,0.044424,378.79,-0.66605,378.79,0.0019146,378.79,0.0020166,378.79,-0.66896,378.79,1.0094,378.79,-0.0031074,378.79,-0.0016341,378.79,0.0039929,378.79,-0.0021632,378.79,-0.66607,378.79,-0.35519
380.38,23.891,380.38,0.2383,380.38,0.032675,380.38,-0.67651,380.38,-0.0019375,380.38,0.0020956,380.38,-0.68076,380.38,1.0078,380.38,0.0030127,380.38,-0.0019888,380.38,-9.81E-05,380.38,0.00056501,380.38,-0.63349,380.38,-0.39019
381.97,23.464,381.97,0.73805,381.97,0.12294,381.97,-0.69068,381.97,-0.007891,381.97,0.002141,381.97,-0.68879,381.97,1.0135,381.97,0.011246,381.97,-0.0020889,381.97,0.00024222,381.97,0.0050614,381.97,-0.60303,381.97,-0.42092
383.56,23.099,383.56,0.78581,383.56,0.11497,383.56,-0.70286,383.56,-0.0086458,383.56,0.001958,383.56,-0.69644,383.56,1.0196,383.56,0.011755,383.56,-0.0019597,383.56,0.0011105,383.56,0.0047553,383.56,-0.57518,383.56,-0.44309
385.15,22.748,385.15,0.31327,385.15,0.025516,385.15,-0.70946,385.15,-0.0030531,385.15,0.0021802,385.15,-0.70482,385.15,1.0182,385.15,0.0038696,385.15,-0.0022294,385.15,0.0023231,385.15,-8.96E-05,385.15,-0.54181,385.15,-0.46303
386.74,22.436,386.74,0.31921,386.74,0.078059,386.74,-0.71338,386.74,0.0017491,386.74,0.0019983,386.74,-0.71422,386.74,1.0129,386.74,-0.0032817,386.74,-0.0019833,386.74,0.0024974,386.74,-0.0046329,386.74,-0.50119,386.74,-0.48961
388.34,22.183,388.34,0.31468,388.34,0.057861,388.34,-0.71641,388.34,0.0016126,388.34,0.0023116,388.34,-0.72155,388.34,1.008,388.34,-0.0026573,388.34,-0.0022501,388.34,0.00068877,388.34,-0.0039233,388.34,-0.46028,388.34,-0.51711
389.93,21.939,389.93,0.48292,389.93,0.060389,389.93,-0.7238,389.93,-0.0049397,389.93,0.0020013,389.93,-0.72719,389.93,1.0109,389.93,0.0063998,389.93,-0.0024832,389.93,-0.00014999,389.93,-0.0018645,389.93,-0.42124,389.93,-0.54244
391.52,21.708,391.52,0.92658,391.52,0.12894,391.52,-0.73392,391.52,-0.009759,391.52,0.0020531,391.52,-0.72973,391.52,1.0196,391.52,0.013615,391.52,-0.0019707,391.52,-0.00077497,391.52,-0.00012468,391.52,-0.3839,391.52,-0.5643
393.11,21.538,393.11,0.75551,393.11,0.10539,393.11,-0.73857,393.11,-0.007923,393.11,0.001883,393.11,-0.73216,393.11,1.0219,393.11,0.010511,393.11,-0.0025681,393.11,0.00031601,393.11,-0.0022962,393.11,-0.34462,393.11,-0.58192
394.7,21.508,394.7,0.29038,394.7,0.064315,394.7,-0.73732,394.7,-0.0006208,394.7,0.0020711,394.7,-0.73482,394.7,1.019,394.7,0.00027707,394.7,-0.0022513,394.7,-0.00057436,394.7,-0.0051089,394.7,-0.30207,394.7,-0.60228
396.29,21.541,396.29,0.56758,396.29,0.1232,396.29,-0.73413,396.29,0.0043414,396.29,0.0021468,396.29,-0.73782,396.29,1.0139,396.29,-0.0064207,396.29,-0.002255,396.29,-0.0011889,396.29,-0.0070245,396.29,-0.25721,396.29,-0.62393
397.88,21.635,397.88,0.50183,397.88,0.10681,397.88,-0.73027,397.88,0.003621,397.88,0.0024813,397.88,-0.7373,397.88,1.01,397.88,-0.0047884,397.88,-0.0029203,397.88,-0.0031507,397.88,-0.0068435,397.88,-0.2136,397.88,-0.64342
399.47,21.694,399.47,0.40575,399.47,0.098326,399.47,-0.72993,399.47,-0.0026421,399.47,0.0022776,399.47,-0.73428,399.47,1.0128,399.47,0.0038283,399.47,-0.0028515,399.47,-0.0031405,399.47,-0.0057997,399.47,-0.16771,399.47,-0.65836
401.06,21.742,401.06,0.77834,401.06,0.13389,401.06,-0.73301,401.06,-0.007157,401.06,0.0026797,401.06,-0.73121,401.06,1.021,401.06,0.010336,401.06,-0.0023766,401.06,-0.0036052,401.06,-0.0055449,401.06,-0.12015,401.06,-0.67163
