Experimental Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exp AnE 55°,,Exp Aps 55°,,Exp Asp 55°,,Exp mm12 55°,,Exp mm13 55°,,Exp mm14 55°,,Exp mm21 55°,,Exp mm22 55°,,Exp mm23 55°,,Exp mm24 55°,,Exp mm31 55°,,Exp mm32 55°,,Exp mm33 55°,,Exp mm34 55°
270.7,33.538,270.7,2.3639,270.7,1.0289,270.7,-0.39446,270.7,-0.0226,270.7,-0.0026,270.7,-0.41882,270.7,1.017,270.7,0.054536,270.7,-0.0001204,270.7,-0.034749,270.7,0.051307,270.7,-0.92931,270.7,-0.021827
272.29,31.908,272.29,2.4836,272.29,0.91687,272.29,-0.44775,272.29,-0.025949,272.29,-0.0024113,272.29,-0.47241,272.29,1.0195,272.29,0.053871,272.29,-0.00020394,272.29,-0.029398,272.29,0.047514,272.29,-0.90178,272.29,-0.097087
273.87,29.946,273.87,2.6413,273.87,0.88371,273.87,-0.50598,273.87,-0.027723,273.87,-0.0024686,273.87,-0.53085,273.87,1.0152,273.87,0.05387,273.87,0.00019971,273.87,-0.027151,273.87,0.045124,273.87,-0.85345,273.87,-0.1627
275.46,27.819,275.46,2.8209,275.46,0.72059,275.46,-0.56908,275.46,-0.031803,275.46,-0.001889,275.46,-0.59408,275.46,1.0153,275.46,0.051838,275.46,4.28E-04,275.46,-0.01934,275.46,0.039111,275.46,-0.798,275.46,-0.21893
277.05,25.411,277.05,3.1116,277.05,0.71902,277.05,-0.6364,277.05,-0.033668,277.05,-0.001632,277.05,-0.66138,277.05,1.0151,277.05,0.053136,277.05,-5.01E-06,277.05,-0.016735,277.05,0.036845,277.05,-0.73188,277.05,-0.26012
278.64,22.854,278.64,3.3998,278.64,0.55256,278.64,-0.706,278.64,-0.036553,278.64,-0.0019238,278.64,-0.72992,278.64,1.0186,278.64,0.051395,278.64,0.00029765,278.64,-0.01265,278.64,0.029659,278.64,-0.65922,278.64,-0.28749
280.23,20.091,280.23,3.8235,280.23,0.53851,280.23,-0.77326,280.23,-0.038187,280.23,-0.0013382,280.23,-0.79379,280.23,1.0211,280.23,0.049898,280.23,0.00051634,280.23,-0.010325,280.23,0.028471,280.23,-0.57646,280.23,-0.29766
281.82,17.228,281.82,4.5788,281.82,0.40243,281.82,-0.83062,281.82,-0.042369,281.82,-0.0012665,281.82,-0.85077,281.82,1.0163,281.82,0.048611,281.82,4.02E-04,281.82,-0.0071944,281.82,0.023909,281.82,-0.48608,281.82,-0.29001
283.4,14.247,283.4,5.385,283.4,0.36308,283.4,-0.88856,283.4,-0.042854,283.4,-0.00082675,283.4,-0.9092,283.4,1.0206,283.4,0.050171,283.4,0.00035676,283.4,-0.0048041,283.4,0.016707,283.4,-0.3985,283.4,-0.26651
284.99,11.203,284.99,6.9757,284.99,0.26955,284.99,-0.9355,284.99,-0.045883,284.99,-7.46E-05,284.99,-0.95552,284.99,1.0241,284.99,0.05012,284.99,-2.25E-04,284.99,-0.0023415,284.99,0.013001,284.99,-0.3099,284.99,-0.22379
286.58,8.1459,286.58,9.3935,286.58,0.306,286.58,-0.97176,286.58,-0.045977,286.58,-0.00040153,286.58,-0.99211,286.58,1.025,286.58,0.050158,286.58,0.00058508,286.58,-0.0020804,286.58,0.010862,286.58,-0.22753,286.58,-0.16551
288.17,5.1481,288.17,14.353,288.17,0.22263,288.17,-1.0029,288.17,-0.045704,288.17,0.00055075,288.17,-0.99872,288.17,1.007,288.17,0.047849,288.17,5.09E-04,288.17,-0.0042751,288.17,0.010577,288.17,-0.1566,288.17,-0.096713
289.76,2.58,289.76,25.603,289.76,0.44921,289.76,-1.0167,289.76,-0.043629,289.76,5.14E-04,289.76,-1.0042,289.76,1.0041,289.76,0.044047,289.76,-0.00016732,289.76,-0.007576,289.76,0.012274,289.76,-0.092256,289.76,-0.012738
291.35,2.3843,291.35,27.292,291.35,0.44688,291.35,-1.0165,291.35,-0.026892,291.35,-0.024595,291.35,-1.028,291.35,1.0251,291.35,0.064645,291.35,-0.026263,291.35,-0.3377,291.35,0.34685,291.35,-0.028239,291.35,0.071565
292.94,4.4678,292.94,15.589,292.94,0.64886,292.94,-1.0092,292.94,-0.039692,292.94,-5.02E-02,292.94,-1.0292,292.94,1.0375,292.94,0.049701,292.94,-0.052594,292.94,-0.32312,292.94,0.3303,292.94,0.0054221,292.94,0.15636
294.52,6.9119,294.52,10,294.52,0.43714,294.52,-0.992,294.52,-0.041539,294.52,-1.91E-05,294.52,-0.99216,294.52,1.0157,294.52,0.044443,294.52,-0.0017456,294.52,-0.0024903,294.52,0.0058013,294.52,0.011779,294.52,0.24561
296.11,9.188,296.11,7.4688,296.11,0.44333,296.11,-0.97747,296.11,-0.040384,296.11,-9.75E-05,296.11,-0.99302,296.11,1.04,296.11,0.045863,296.11,-0.00065313,296.11,-0.0033269,296.11,0.0085605,296.11,0.022727,296.11,0.32216
297.7,11.372,297.7,5.6032,297.7,0.3632,297.7,-0.9465,297.7,-0.036591,297.7,0.0017121,297.7,-0.96049,297.7,1.0342,297.7,0.042024,297.7,-0.0014672,297.7,0.0013642,297.7,0.0035945,297.7,0.02327,297.7,0.39447
299.29,13.406,299.29,4.8049,299.29,0.38385,299.29,-0.91915,299.29,-0.03641,299.29,0.00012285,299.29,-0.93374,299.29,1.0391,299.29,0.042575,299.29,-0.0012778,299.29,-0.0025491,299.29,0.0077136,299.29,0.016632,299.29,0.46206
300.88,15.229,300.88,4.0192,300.88,0.42707,300.88,-0.88939,300.88,-0.033343,300.88,0.00055299,300.88,-0.90148,300.88,1.0405,300.88,0.04089,300.88,-0.0020555,300.88,-0.00035184,300.88,0.0087735,300.88,-0.0013503,300.88,0.52085
302.47,17.004,302.47,3.4183,302.47,0.41087,302.47,-0.85167,302.47,-0.030557,302.47,1.28E-03,302.47,-0.86549,302.47,1.0354,302.47,0.03866,302.47,-0.0018882,302.47,0.0012727,302.47,0.0083661,302.47,-0.019368,302.47,0.57206
304.06,18.647,304.06,3.1961,304.06,0.54774,304.06,-0.82082,304.06,-0.029276,304.06,0.00041205,304.06,-0.83187,304.06,1.0397,304.06,0.041023,304.06,-0.0015318,304.06,-9.42E-05,304.06,0.0097138,304.06,-0.040861,304.06,0.62143
305.65,20.133,305.65,2.8381,305.65,0.48386,305.65,-0.78907,305.65,-0.027825,305.65,1.32E-03,305.65,-0.79991,305.65,1.0435,305.65,0.038722,305.65,-0.0014993,305.65,0.0029024,305.65,0.010332,305.65,-0.072417,305.65,0.66095
307.24,21.546,307.24,2.4218,307.24,0.44305,307.24,-0.75321,307.24,-0.024794,307.24,0.00048913,307.24,-0.76563,307.24,1.0397,307.24,0.035053,307.24,-0.00094504,307.24,0.0028237,307.24,0.010902,307.24,-0.1014,307.24,0.69441
308.83,22.86,308.83,2.2719,308.83,0.51,308.83,-0.72191,308.83,-0.023124,308.83,3.59E-04,308.83,-0.73164,308.83,1.0414,308.83,0.035527,308.83,-0.0015135,308.83,0.0028268,308.83,0.012524,308.83,-0.13536,308.83,0.72474
310.42,24.01,310.42,2.1559,310.42,0.52696,310.42,-0.6896,310.42,-0.022172,310.42,2.82E-04,310.42,-0.69905,310.42,1.0383,310.42,0.035042,310.42,-0.0016563,310.42,0.0021675,310.42,0.015327,310.42,-0.16668,310.42,0.74438
312.01,25.079,312.01,1.8406,312.01,0.47522,312.01,-0.66151,312.01,-0.019433,312.01,-0.0004225,312.01,-0.67256,312.01,1.0415,312.01,0.031394,312.01,-1.61E-03,312.01,0.0019055,312.01,0.014181,312.01,-0.20086,312.01,0.76195
313.6,26.122,313.6,1.8516,313.6,0.4891,313.6,-0.62993,313.6,-0.019638,313.6,0.00064863,313.6,-0.64036,313.6,1.0365,313.6,0.032303,313.6,-0.0014184,313.6,0.0038119,313.6,0.014918,313.6,-0.23493,313.6,0.77415
315.18,26.986,315.18,1.8119,315.18,0.5437,315.18,-0.60548,315.18,-0.018672,315.18,8.25E-04,315.18,-0.61454,315.18,1.0373,315.18,0.033445,315.18,-0.0022985,315.18,0.0047365,315.18,0.01563,315.18,-0.26967,315.18,0.78268
316.77,27.817,316.77,1.5173,316.77,0.46151,316.77,-0.58068,316.77,-0.015905,316.77,9.27E-04,316.77,-0.59101,316.77,1.0366,316.77,0.028476,316.77,-0.0013795,316.77,0.0064579,316.77,0.014368,316.77,-0.30446,316.77,0.78669
318.36,28.59,318.36,1.3745,318.36,0.48599,318.36,-0.55681,318.36,-0.013495,318.36,9.91E-04,318.36,-0.5662,318.36,1.0335,318.36,0.026656,318.36,-0.0016653,318.36,0.0053906,318.36,0.016449,318.36,-0.33619,318.36,0.78968
319.95,29.265,319.95,1.5101,319.95,0.56222,319.95,-0.53711,319.95,-0.014716,319.95,0.00017666,319.95,-0.5435,319.95,1.035,319.95,0.030374,319.95,-0.0014193,319.95,0.0058542,319.95,0.018391,319.95,-0.36974,319.95,0.79074
321.54,29.843,321.54,1.3581,321.54,0.51185,321.54,-0.51864,321.54,-0.013269,321.54,0.00071914,321.54,-0.52709,321.54,1.0348,321.54,0.027571,321.54,-0.0012557,321.54,0.0076108,321.54,0.017654,321.54,-0.40095,321.54,0.78443
323.13,30.397,323.13,1.0965,323.13,0.43462,323.13,-0.50073,323.13,-0.010514,323.13,3.17E-04,323.13,-0.51057,323.13,1.0319,323.13,0.022918,323.13,-0.0015239,323.13,0.007342,323.13,0.015262,323.13,-0.43123,323.13,0.77884
324.72,30.94,324.72,1.2548,324.72,0.53975,324.72,-0.484,324.72,-0.011433,324.72,0.00065178,324.72,-0.49078,324.72,1.0308,324.72,0.027003,324.72,-0.0012496,324.72,0.0062112,324.72,0.018164,324.72,-0.46003,324.72,0.77419
326.31,31.341,326.31,1.2667,326.31,0.57801,326.31,-0.47166,326.31,-0.011176,326.31,0.00012405,326.31,-0.47779,326.31,1.0332,326.31,0.028172,326.31,-0.001213,326.31,0.0075029,326.31,0.019321,326.31,-0.48812,326.31,0.76427
327.9,31.72,327.9,0.97126,327.9,0.45449,327.9,-0.45979,327.9,-0.0084882,327.9,0.00068372,327.9,-0.46814,327.9,1.0336,327.9,0.021672,327.9,-1.42E-03,327.9,0.0097042,327.9,0.016434,327.9,-0.51487,327.9,0.75273
329.49,32.079,329.49,0.8855,329.49,0.43577,329.49,-0.4472,329.49,-0.0073724,329.49,0.00024021,329.49,-0.45506,329.49,1.0299,329.49,0.019912,329.49,-0.0012321,329.49,0.0067205,329.49,0.016061,329.49,-0.53694,329.49,0.74418
331.08,32.395,331.08,1.1451,331.08,0.55306,331.08,-0.43743,331.08,-0.0096295,331.08,0.00081211,331.08,-0.4415,331.08,1.0296,331.08,0.025815,331.08,-0.0013613,331.08,0.0067558,331.08,0.020441,331.08,-0.56117,331.08,0.73402
332.67,32.632,332.67,1.0584,332.67,0.50991,332.67,-0.42981,332.67,-0.0090517,332.67,0.00078498,332.67,-0.4333,332.67,1.0317,332.67,0.02396,332.67,-0.0010619,332.67,0.010273,332.67,0.019267,332.67,-0.58433,332.67,0.71792
334.26,32.877,334.26,0.6903,334.26,0.36734,334.26,-0.42051,334.26,-0.0054368,334.26,0.00058065,334.26,-0.42748,334.26,1.0279,334.26,0.016049,334.26,-0.0013994,334.26,0.0096051,334.26,0.014043,334.26,-0.60345,334.26,0.70349
335.85,33.111,335.85,0.74419,335.85,0.40959,335.85,-0.41208,335.85,-0.005421,335.85,0.0011568,335.85,-0.41881,335.85,1.0245,335.85,0.017399,335.85,-0.0013318,335.85,0.007357,335.85,0.015618,335.85,-0.62214,335.85,0.6926
337.44,33.314,337.44,1.006,337.44,0.50392,337.44,-0.40622,337.44,-0.0082851,337.44,0.00086445,337.44,-0.40889,337.44,1.0264,337.44,0.02345,337.44,-0.0014443,337.44,0.0065893,337.44,0.019417,337.44,-0.64178,337.44,0.67995
339.03,33.48,339.03,0.90875,339.03,0.48704,339.03,-0.40137,339.03,-0.0071275,339.03,0.00057475,339.03,-0.4042,339.03,1.0288,339.03,0.021794,339.03,-8.21E-04,339.03,0.0096605,339.03,0.018274,339.03,-0.66162,339.03,0.66317
340.62,33.629,340.62,0.54274,340.62,0.315,340.62,-0.3959,340.62,-0.0038931,340.62,0.00114,340.62,-0.40249,340.62,1.0266,340.62,0.013006,340.62,-1.63E-03,340.62,0.011396,340.62,0.012848,340.62,-0.67771,340.62,0.64976
342.21,33.813,342.21,0.56227,342.21,0.33847,342.21,-0.3887,342.21,-0.0035515,342.21,0.00070265,342.21,-0.39415,342.21,1.0226,342.21,0.013361,342.21,-0.00099129,342.21,0.0057266,342.21,0.013693,342.21,-0.69031,342.21,0.63815
343.8,33.975,343.8,0.88717,343.8,0.50688,343.8,-0.38395,343.8,-0.0062503,343.8,0.00079536,343.8,-0.38534,343.8,1.0242,343.8,0.021708,343.8,-9.17E-04,343.8,0.0050973,343.8,0.019523,343.8,-0.70763,343.8,0.62412
345.39,34.095,345.39,0.82885,345.39,0.46418,345.39,-0.38088,345.39,-0.0060741,345.39,0.00072708,345.39,-0.38118,345.39,1.0273,345.39,0.020097,345.39,-0.001354,345.39,0.0091052,345.39,0.018801,345.39,-0.72495,345.39,0.60776
346.98,34.239,346.98,0.42844,346.98,0.28829,346.98,-0.37561,346.98,-0.0022788,346.98,0.00080402,346.98,-0.37989,346.98,1.0256,346.98,0.010681,346.98,-1.23E-03,346.98,0.0098042,346.98,0.011682,346.98,-0.73887,346.98,0.59237
348.57,34.381,348.57,0.40264,348.57,0.25383,348.57,-0.36926,348.57,-0.0021892,348.57,0.0012671,348.57,-0.37535,348.57,1.0201,348.57,0.0091886,348.57,-0.0016871,348.57,0.0064272,348.57,0.011357,348.57,-0.74862,348.57,0.57905
350.16,34.493,350.16,0.74304,350.16,0.41212,350.16,-0.36555,350.16,-5.28E-03,350.16,0.0014145,350.16,-0.36772,350.16,1.0198,350.16,0.017939,350.16,-1.69E-03,350.16,0.0046167,350.16,0.017188,350.16,-0.76252,350.16,0.56463
351.75,34.62,351.75,0.82658,351.75,0.4816,351.75,-0.36289,351.75,-0.0057184,351.75,0.0011523,351.75,-0.36202,351.75,1.0249,351.75,0.0205,351.75,-0.0013913,351.75,0.0066303,351.75,0.01982,351.75,-0.77966,351.75,0.54763
353.34,34.741,353.34,0.46806,353.34,0.32025,353.34,-0.3588,353.34,-0.0023994,353.34,0.00080504,353.34,-0.36083,353.34,1.0248,353.34,0.011913,353.34,-0.0016675,353.34,0.009328,353.34,0.013269,353.34,-0.7929,353.34,0.53028
354.93,34.87,354.93,0.24071,354.93,0.18,354.93,-0.35304,354.93,-0.00042692,354.93,0.0015455,354.93,-0.3591,354.93,1.02,354.93,0.0051208,354.93,-1.09E-03,354.93,0.0075187,354.93,0.0082432,354.93,-0.80218,354.93,0.51471
356.52,35.004,356.52,0.41459,356.52,0.30585,356.52,-0.34799,356.52,-0.0014775,356.52,0.0012363,356.52,-0.35198,356.52,1.0179,356.52,0.010624,356.52,-0.00086543,356.52,0.0027128,356.52,0.012343,356.52,-0.81391,356.52,0.49863
358.11,35.108,358.11,0.75704,358.11,0.46908,358.11,-0.34598,358.11,-0.0047246,358.11,0.0014974,358.11,-0.34544,358.11,1.0226,358.11,0.019314,358.11,-0.0012107,358.11,0.003194,358.11,0.019347,358.11,-0.82992,358.11,0.47996
359.7,35.206,359.7,0.63386,359.7,0.38171,359.7,-0.34373,359.7,-0.0040574,359.7,0.0016274,359.7,-0.34249,359.7,1.0257,359.7,0.015927,359.7,-0.0010152,359.7,0.0074952,359.7,0.016318,359.7,-0.84605,359.7,0.45849
361.29,35.287,361.29,0.23424,361.29,0.19425,361.29,-0.33991,361.29,-0.0002038,361.29,0.0015198,361.29,-0.34298,361.29,1.0222,361.29,0.0057432,361.29,-0.0012196,361.29,0.0086381,361.29,0.0081894,361.29,-0.85551,361.29,0.43752
362.88,35.346,362.88,0.18101,362.88,0.1522,362.88,-0.33645,362.88,0.00030458,362.88,0.0016134,362.88,-0.34203,362.88,1.0173,362.88,0.0037519,362.88,-0.0012794,362.88,0.0044808,362.88,0.0067725,362.88,-0.86335,362.88,0.4172
364.48,35.364,364.48,0.47115,364.48,0.31177,364.48,-0.33579,364.48,-2.38E-03,364.48,0.001405,364.48,-0.33906,364.48,1.017,364.48,0.011975,364.48,-0.0010849,364.48,0.0014464,364.48,0.013239,364.48,-0.87499,364.48,0.3945
366.07,35.328,366.07,0.72185,366.07,0.42926,366.07,-0.33886,366.07,-0.0047438,366.07,0.0017488,366.07,-0.33739,366.07,1.023,366.07,0.018222,366.07,-0.00086416,366.07,0.003449,366.07,0.018711,366.07,-0.8903,366.07,0.36851
367.66,35.233,367.66,0.50886,367.66,0.33615,367.66,-0.34257,367.66,-0.0026531,367.66,0.0017021,367.66,-0.34094,367.66,1.0243,367.66,0.013024,367.66,-0.0011371,367.66,0.0080284,367.66,0.014515,367.66,-0.90159,367.66,0.34204
369.25,35.128,369.25,0.13525,369.25,0.1307,369.25,-0.34493,369.25,0.00073438,369.25,0.0015149,369.25,-0.3472,369.25,1.0211,369.25,0.0028165,369.25,-0.0012317,369.25,0.0094326,369.25,0.0054214,369.25,-0.90668,369.25,0.31691
370.84,34.982,370.84,0.1226,370.84,0.044354,370.84,-0.34924,370.84,0.0015242,370.84,0.0021268,370.84,-0.35473,370.84,1.0194,370.84,-0.001204,370.84,-0.0013078,370.84,0.0065985,370.84,0.0020344,370.84,-0.90997,370.84,0.29675
372.43,34.799,372.43,0.27928,372.43,0.17294,372.43,-0.35816,372.43,-1.41E-03,372.43,0.0018971,372.43,-0.3623,372.43,1.0274,372.43,0.0064658,372.43,-0.0013619,372.43,0.00040449,372.43,0.0079781,372.43,-0.92235,372.43,0.27457
374.02,34.537,374.02,0.77964,374.02,0.43534,374.02,-0.36911,374.02,-0.0056482,374.02,0.0016034,374.02,-0.36799,374.02,1.0343,374.02,0.019205,374.02,-0.0013223,374.02,0.0032706,374.02,0.020435,374.02,-0.9326,374.02,0.2418
375.61,34.252,375.61,0.64239,375.61,0.3743,375.61,-0.37661,375.61,-0.0042857,375.61,0.0017484,375.61,-0.37354,375.61,1.0283,375.61,0.015712,375.61,-0.00070807,375.61,7.94E-03,375.61,0.017247,375.61,-0.93059,375.61,0.21483
377.2,33.996,377.2,0.21655,377.2,0.14597,377.2,-0.38322,377.2,-0.00046279,377.2,0.0022915,377.2,-0.38433,377.2,1.0233,377.2,0.0044241,377.2,-0.0014749,377.2,0.0091803,377.2,0.0065195,377.2,-0.92694,377.2,0.19316
378.79,33.718,378.79,0.10962,378.79,0.065886,378.79,-0.39132,378.79,0.0017041,378.79,0.0021944,378.79,-0.39667,378.79,1.0204,378.79,-0.00078221,378.79,-0.00092525,378.79,0.005551,378.79,0.0019858,378.79,-0.92453,378.79,0.17302
380.38,33.41,380.38,0.21208,380.38,0.15247,380.38,-0.40038,380.38,-0.00051269,380.38,0.0019582,380.38,-0.4067,380.38,1.0175,380.38,0.0047018,380.38,-0.0012704,380.38,0.00016921,380.38,6.54E-03,380.38,-0.92233,380.38,0.14982
381.97,33.086,381.97,0.59688,381.97,0.33039,381.97,-0.41315,381.97,-0.0041028,381.97,0.0020756,381.97,-0.41478,381.97,1.0233,381.97,0.013837,381.97,-0.0010306,381.97,0.00035232,381.97,0.01556,381.97,-0.92505,381.97,0.12805
383.56,32.761,383.56,0.61055,383.56,0.32709,383.56,-0.42614,383.56,-0.0045106,383.56,0.0023209,383.56,-0.42382,383.56,1.0295,383.56,0.014561,383.56,-0.0011638,383.56,0.002909,383.56,0.015082,383.56,-0.92783,383.56,0.10866
385.15,32.414,385.15,0.28348,385.15,0.17364,385.15,-0.4373,385.15,-0.00147,385.15,0.0022993,385.15,-0.4361,385.15,1.0293,385.15,0.006314,385.15,-0.0011711,385.15,0.0069141,385.15,0.0077041,385.15,-0.92462,385.15,0.089774
386.74,32.018,386.74,0.12551,386.74,0.068294,386.74,-0.44838,386.74,0.0021199,386.74,0.0021137,386.74,-0.45257,386.74,1.0258,386.74,-0.00082622,386.74,-0.0010882,386.74,0.0068634,386.74,0.0013939,386.74,-0.91604,386.74,0.069471
388.34,31.635,388.34,0.11219,388.34,0.054345,388.34,-0.4588,388.34,0.0011496,388.34,0.002124,388.34,-0.46614,388.34,1.022,388.34,-0.0006021,388.34,-0.0013161,388.34,0.0052068,388.34,0.0021025,388.34,-0.90733,388.34,0.047934
389.93,31.218,389.93,0.40392,389.93,0.18706,389.93,-0.47301,389.93,-0.0032925,389.93,0.0024295,389.93,-0.4787,389.93,1.0239,389.93,0.0083037,389.93,-0.00093852,389.93,0.0031292,389.93,0.0091267,389.93,-0.90351,389.93,0.026549
391.52,30.797,391.52,0.7292,391.52,0.32068,391.52,-0.48985,391.52,-0.0063465,391.52,0.0025893,391.52,-0.4906,391.52,1.0318,391.52,0.016274,391.52,-0.0016807,391.52,0.0024814,391.52,0.015326,391.52,-0.90316,391.52,0.0060181
393.11,30.384,393.11,0.59601,393.11,0.24395,393.11,-0.50483,393.11,-0.0053887,393.11,0.0028387,393.11,-0.50225,393.11,1.0364,393.11,0.012389,393.11,-0.001707,393.11,0.0053129,393.11,1.23E-02,393.11,-0.89923,393.11,-0.013544
394.7,29.975,394.7,0.16768,394.7,0.089794,394.7,-0.51627,394.7,-0.00058041,394.7,0.0024905,394.7,-0.5171,394.7,1.0337,394.7,0.0022571,394.7,-0.0012686,394.7,0.006703,394.7,0.0039605,394.7,-0.88877,394.7,-0.032527
396.29,29.528,396.29,0.2954,396.29,0.058502,396.29,-0.52846,396.29,0.0036161,396.29,0.0026499,396.29,-0.53458,396.29,1.0304,396.29,-0.0050388,396.29,-0.0011498,396.29,0.0049679,396.29,-0.0026844,396.29,-0.87674,396.29,-0.052124
397.88,29.074,397.88,0.22634,397.88,0.07271,397.88,-0.54068,397.88,0.0023988,397.88,0.0030184,397.88,-0.55132,397.88,1.0276,397.88,-0.0040519,397.88,-0.0010634,397.88,0.0020698,397.88,-0.0013343,397.88,-0.86411,397.88,-0.071901
399.47,28.621,399.47,0.32519,399.47,0.12964,399.47,-0.55695,399.47,-0.0026788,399.47,0.0031662,399.47,-0.56497,399.47,1.0328,399.47,0.0054063,399.47,-0.0013269,399.47,-0.00083329,399.47,0.0061717,399.47,-0.8574,399.47,-0.091648
401.06,28.114,401.06,0.6065,401.06,0.22066,401.06,-0.57556,401.06,-0.0056031,401.06,0.0028435,401.06,-0.57817,401.06,1.0384,401.06,0.011653,401.06,-0.00183,401.06,-0.0010983,401.06,0.011055,401.06,-0.85025,401.06,-0.11078
